post_date,state,count_id_indexed
2020-03-01,,1.0000
2020-03-01,AK,1.0000
2020-03-01,AL,1.0000
2020-03-01,AR,1.0000
2020-03-01,AZ,1.0000
2020-03-01,CA,1.0000
2020-03-01,CO,1.0000
2020-03-01,CT,1.0000
2020-03-01,DC,1.0000
2020-03-01,DE,1.0000
2020-03-01,FL,1.0000
2020-03-01,GA,1.0000
2020-03-01,HI,1.0000
2020-03-01,IA,1.0000
2020-03-01,ID,1.0000
2020-03-01,IL,1.0000
2020-03-01,IN,1.0000
2020-03-01,KS,1.0000
2020-03-01,KY,1.0000
2020-03-01,LA,1.0000
2020-03-01,MA,1.0000
2020-03-01,MD,1.0000
2020-03-01,ME,1.0000
2020-03-01,MI,1.0000
2020-03-01,MN,1.0000
2020-03-01,MO,1.0000
2020-03-01,MS,1.0000
2020-03-01,MT,1.0000
2020-03-01,NC,1.0000
2020-03-01,ND,1.0000
2020-03-01,NE,1.0000
2020-03-01,NH,1.0000
2020-03-01,NJ,1.0000
2020-03-01,NM,1.0000
2020-03-01,NV,1.0000
2020-03-01,NY,1.0000
2020-03-01,OH,1.0000
2020-03-01,OK,1.0000
2020-03-01,OR,1.0000
2020-03-01,PA,1.0000
2020-03-01,Pi,1.0000
2020-03-01,PR,1.0000
2020-03-01,RI,1.0000
2020-03-01,SC,1.0000
2020-03-01,SD,1.0000
2020-03-01,Sh,1.0000
2020-03-01,St,1.0000
2020-03-01,TN,1.0000
2020-03-01,TX,1.0000
2020-03-01,Un,1.0000
2020-03-01,UT,1.0000
2020-03-01,VA,1.0000
2020-03-01,VI,1.0000
2020-03-01,VT,1.0000
2020-03-01,WA,1.0000
2020-03-01,WI,1.0000
2020-03-01,WV,1.0000
2020-03-01,WY,1.0000
2020-03-02,,0.9716
2020-03-02,AK,0.9743
2020-03-02,AL,1.0065
2020-03-02,AR,1.0237
2020-03-02,AS,0.0000
2020-03-02,AZ,1.0120
2020-03-02,CA,1.0062
2020-03-02,CO,1.0194
2020-03-02,CT,1.0284
2020-03-02,DC,0.9894
2020-03-02,DE,1.0247
2020-03-02,FL,1.0068
2020-03-02,GA,1.0075
2020-03-02,GU,0.0000
2020-03-02,HI,1.0383
2020-03-02,IA,1.0119
2020-03-02,ID,1.0326
2020-03-02,IL,1.0150
2020-03-02,IN,1.0150
2020-03-02,KS,1.0264
2020-03-02,KY,1.0351
2020-03-02,LA,1.0405
2020-03-02,Ly,0.0000
2020-03-02,MA,1.0089
2020-03-02,MD,1.0107
2020-03-02,ME,1.0118
2020-03-02,MI,1.0106
2020-03-02,MN,1.0134
2020-03-02,MO,1.0008
2020-03-02,MP,0.0000
2020-03-02,MS,1.0388
2020-03-02,MT,0.9713
2020-03-02,NC,1.0116
2020-03-02,ND,0.9838
2020-03-02,NE,1.0324
2020-03-02,NH,1.0078
2020-03-02,NJ,1.0204
2020-03-02,NM,1.0294
2020-03-02,NV,1.0616
2020-03-02,NY,1.0048
2020-03-02,OH,1.0109
2020-03-02,OK,1.0210
2020-03-02,OR,0.9854
2020-03-02,PA,1.0041
2020-03-02,Pi,1.0851
2020-03-02,PR,1.0028
2020-03-02,RI,1.0278
2020-03-02,SC,1.0131
2020-03-02,SD,1.0421
2020-03-02,Sh,1.0892
2020-03-02,So,0.0000
2020-03-02,St,1.0000
2020-03-02,TN,1.0080
2020-03-02,TX,1.0106
2020-03-02,Un,1.0338
2020-03-02,UT,1.0160
2020-03-02,VA,1.0104
2020-03-02,VI,0.9415
2020-03-02,VT,1.0388
2020-03-02,WA,0.9622
2020-03-02,WI,1.0176
2020-03-02,WV,1.0136
2020-03-02,WY,1.0317
2020-03-03,,0.9424
2020-03-03,AK,1.0293
2020-03-03,AL,1.0451
2020-03-03,AR,1.0573
2020-03-03,AS,0.0000
2020-03-03,AZ,1.0146
2020-03-03,CA,1.0125
2020-03-03,CO,1.0327
2020-03-03,CT,1.0419
2020-03-03,DC,0.9970
2020-03-03,DE,1.0569
2020-03-03,FL,1.0113
2020-03-03,GA,1.0126
2020-03-03,GU,0.0000
2020-03-03,HI,1.1248
2020-03-03,IA,1.0590
2020-03-03,ID,1.0837
2020-03-03,IL,1.0350
2020-03-03,IN,1.0393
2020-03-03,KS,1.0628
2020-03-03,KY,1.0634
2020-03-03,LA,1.1141
2020-03-03,Ly,0.0000
2020-03-03,MA,1.0139
2020-03-03,MD,1.0252
2020-03-03,ME,1.0626
2020-03-03,MI,1.0186
2020-03-03,MN,1.0418
2020-03-03,MO,0.9916
2020-03-03,MP,0.0000
2020-03-03,MS,1.0622
2020-03-03,MT,1.0123
2020-03-03,NC,1.0176
2020-03-03,ND,1.0375
2020-03-03,NE,1.0366
2020-03-03,NH,1.0639
2020-03-03,NJ,1.0190
2020-03-03,NM,1.0848
2020-03-03,NV,1.0630
2020-03-03,NY,1.0158
2020-03-03,OH,1.0237
2020-03-03,OK,1.0321
2020-03-03,OR,1.0202
2020-03-03,PA,1.0129
2020-03-03,Pi,0.9544
2020-03-03,PR,0.9463
2020-03-03,RI,1.0724
2020-03-03,SC,1.0071
2020-03-03,SD,1.0631
2020-03-03,So,0.0000
2020-03-03,St,0.9345
2020-03-03,TN,1.0007
2020-03-03,TX,1.0116
2020-03-03,Un,1.0507
2020-03-03,UT,1.0352
2020-03-03,VA,1.0270
2020-03-03,VI,0.8122
2020-03-03,VT,1.0696
2020-03-03,WA,0.9742
2020-03-03,WI,1.0268
2020-03-03,WV,1.0561
2020-03-03,WY,1.1052
2020-03-04,,0.9304
2020-03-04,AK,1.0339
2020-03-04,AL,1.0885
2020-03-04,AR,1.0988
2020-03-04,AZ,1.0228
2020-03-04,CA,1.0305
2020-03-04,CO,1.0614
2020-03-04,CT,1.0740
2020-03-04,DC,1.0136
2020-03-04,DE,1.0893
2020-03-04,FL,1.0391
2020-03-04,GA,1.0357
2020-03-04,GU,0.0000
2020-03-04,HI,1.1428
2020-03-04,IA,1.0963
2020-03-04,ID,1.0846
2020-03-04,IL,1.0951
2020-03-04,IN,1.0527
2020-03-04,KS,1.0719
2020-03-04,KY,1.0722
2020-03-04,LA,1.1935
2020-03-04,Ly,0.0000
2020-03-04,MA,1.0320
2020-03-04,MD,1.0367
2020-03-04,ME,1.1045
2020-03-04,MI,1.0506
2020-03-04,MN,1.0691
2020-03-04,MO,1.0063
2020-03-04,MP,0.0000
2020-03-04,MS,1.1259
2020-03-04,MT,1.0625
2020-03-04,NC,1.0390
2020-03-04,ND,1.0925
2020-03-04,NE,1.0558
2020-03-04,NH,1.0976
2020-03-04,NJ,1.0377
2020-03-04,NM,1.1234
2020-03-04,NV,1.0853
2020-03-04,NY,1.0334
2020-03-04,OH,1.0528
2020-03-04,OK,1.0466
2020-03-04,OR,1.0378
2020-03-04,PA,1.0319
2020-03-04,Pi,1.0426
2020-03-04,PR,0.9518
2020-03-04,RI,1.1045
2020-03-04,SC,1.0297
2020-03-04,SD,1.0921
2020-03-04,Sh,1.2739
2020-03-04,So,0.0000
2020-03-04,St,0.9684
2020-03-04,TN,1.0186
2020-03-04,TX,1.0356
2020-03-04,Un,1.0688
2020-03-04,UT,1.0515
2020-03-04,VA,1.0441
2020-03-04,VI,0.7652
2020-03-04,VT,1.1345
2020-03-04,WA,0.9899
2020-03-04,WI,1.0560
2020-03-04,WV,1.1442
2020-03-04,WY,1.0983
2020-03-05,,0.8728
2020-03-05,AK,1.0358
2020-03-05,AL,1.0865
2020-03-05,AR,1.1245
2020-03-05,AS,0.0000
2020-03-05,AZ,1.0408
2020-03-05,CA,1.0467
2020-03-05,CO,1.0656
2020-03-05,CT,1.1659
2020-03-05,DC,1.0178
2020-03-05,DE,1.1288
2020-03-05,FL,1.0574
2020-03-05,GA,1.0430
2020-03-05,GU,0.0000
2020-03-05,HI,1.1977
2020-03-05,IA,1.0926
2020-03-05,ID,1.0862
2020-03-05,IL,1.1048
2020-03-05,IN,1.0668
2020-03-05,KS,1.0742
2020-03-05,KY,1.0875
2020-03-05,LA,1.2077
2020-03-05,Ly,0.0000
2020-03-05,MA,1.0424
2020-03-05,MD,1.0446
2020-03-05,ME,1.0949
2020-03-05,MI,1.0722
2020-03-05,MN,1.0781
2020-03-05,MO,1.0235
2020-03-05,MP,0.0000
2020-03-05,MS,1.1302
2020-03-05,MT,1.0949
2020-03-05,NC,1.0496
2020-03-05,ND,1.1104
2020-03-05,NE,1.0789
2020-03-05,NH,1.1105
2020-03-05,NJ,1.0346
2020-03-05,NM,1.1499
2020-03-05,NV,1.0902
2020-03-05,NY,1.0345
2020-03-05,OH,1.0693
2020-03-05,OK,1.0555
2020-03-05,OR,1.0636
2020-03-05,PA,1.0485
2020-03-05,Pi,1.0426
2020-03-05,PR,0.9794
2020-03-05,RI,1.1181
2020-03-05,SC,1.0470
2020-03-05,SD,1.0860
2020-03-05,Sh,1.3822
2020-03-05,So,0.0000
2020-03-05,St,0.9684
2020-03-05,TN,1.0203
2020-03-05,TX,1.0457
2020-03-05,Un,1.0000
2020-03-05,UT,1.0534
2020-03-05,VA,1.0574
2020-03-05,VI,0.7414
2020-03-05,VT,1.1357
2020-03-05,WA,0.9970
2020-03-05,WI,1.0700
2020-03-05,WV,1.1756
2020-03-05,WY,1.1052
2020-03-06,,0.8347
2020-03-06,AK,1.0463
2020-03-06,AL,1.0861
2020-03-06,AR,1.1420
2020-03-06,AS,0.0000
2020-03-06,AZ,1.0505
2020-03-06,CA,1.0623
2020-03-06,CO,1.0910
2020-03-06,CT,1.2026
2020-03-06,DC,1.0017
2020-03-06,DE,1.1587
2020-03-06,FL,1.0645
2020-03-06,GA,1.0413
2020-03-06,GU,0.0000
2020-03-06,HI,1.2427
2020-03-06,IA,1.1154
2020-03-06,ID,1.0995
2020-03-06,IL,1.1222
2020-03-06,IN,1.0797
2020-03-06,KS,1.0873
2020-03-06,KY,1.0876
2020-03-06,LA,1.2201
2020-03-06,Ly,0.0000
2020-03-06,MA,1.0650
2020-03-06,MD,1.0733
2020-03-06,ME,1.1714
2020-03-06,MI,1.0851
2020-03-06,MN,1.0889
2020-03-06,MO,1.0306
2020-03-06,MP,0.0000
2020-03-06,MS,1.1257
2020-03-06,MT,1.1131
2020-03-06,NC,1.0662
2020-03-06,ND,1.1121
2020-03-06,NE,1.0955
2020-03-06,NH,1.1524
2020-03-06,NJ,1.0582
2020-03-06,NM,1.0362
2020-03-06,NV,1.0607
2020-03-06,NY,1.0645
2020-03-06,OH,1.0951
2020-03-06,OK,1.0627
2020-03-06,ON,0.0000
2020-03-06,OR,1.0855
2020-03-06,PA,1.0707
2020-03-06,Pi,1.1277
2020-03-06,PR,1.0249
2020-03-06,RI,1.1492
2020-03-06,SC,1.0638
2020-03-06,SD,1.1267
2020-03-06,So,0.0000
2020-03-06,St,0.5169
2020-03-06,TN,1.0313
2020-03-06,TX,1.0480
2020-03-06,Un,0.9819
2020-03-06,UT,1.0515
2020-03-06,VA,1.0719
2020-03-06,VI,0.6829
2020-03-06,VT,1.2156
2020-03-06,WA,0.9946
2020-03-06,WI,1.0975
2020-03-06,WV,1.2108
2020-03-06,WY,1.1534
2020-03-07,,0.8310
2020-03-07,AK,1.0638
2020-03-07,AL,1.1215
2020-03-07,AR,1.1820
2020-03-07,AZ,1.0592
2020-03-07,CA,1.0734
2020-03-07,CO,1.0969
2020-03-07,CT,1.2307
2020-03-07,DC,1.0171
2020-03-07,DE,1.2503
2020-03-07,FL,1.0836
2020-03-07,GA,1.0616
2020-03-07,GU,0.0000
2020-03-07,HI,1.3089
2020-03-07,IA,1.1335
2020-03-07,ID,1.1398
2020-03-07,IL,1.1447
2020-03-07,IN,1.0970
2020-03-07,KS,1.1406
2020-03-07,KY,1.1148
2020-03-07,LA,1.2483
2020-03-07,Ly,0.0000
2020-03-07,MA,1.0782
2020-03-07,MD,1.1057
2020-03-07,ME,1.1930
2020-03-07,MI,1.1088
2020-03-07,MN,1.1095
2020-03-07,MO,1.0531
2020-03-07,MS,1.1670
2020-03-07,MT,1.1518
2020-03-07,NC,1.1054
2020-03-07,ND,1.1738
2020-03-07,NE,1.1387
2020-03-07,NH,1.2094
2020-03-07,NJ,1.1009
2020-03-07,NM,1.0598
