post_date,job_family,count_id_indexed
2020-03-01,,1.0000
2020-03-01,Customer Service,1.0000
2020-03-01,Entertainment and Recreation,1.0000
2020-03-01,Facilities/Constr,1.0000
2020-03-01,Finance/Insurance,1.0000
2020-03-01,Food & Beverage,1.0000
2020-03-01,Healthcare,1.0000
2020-03-01,Hospitality Staff,1.0000
2020-03-01,Human Resources,1.0000
2020-03-01,IT,1.0000
2020-03-01,Manufacturing/Operations Staff,1.0000
2020-03-01,Marketing/Advertising,1.0000
2020-03-01,Product Management,1.0000
2020-03-01,Retail Staff,1.0000
2020-03-01,Sales,1.0000
2020-03-01,Security,1.0000
2020-03-01,Skilled Trades,1.0000
2020-03-01,Supply Chain Staff,1.0000
2020-03-01,Unassigned,1.0000
2020-03-02,,0.9994
2020-03-02,Customer Service,1.0181
2020-03-02,Entertainment and Recreation,1.0209
2020-03-02,Facilities/Constr,1.0012
2020-03-02,Finance/Insurance,0.9984
2020-03-02,Food & Beverage,1.0266
2020-03-02,Healthcare,0.9955
2020-03-02,Hospitality Staff,1.0144
2020-03-02,Human Resources,0.9949
2020-03-02,IT,1.0054
2020-03-02,Manufacturing/Operations Staff,0.9985
2020-03-02,Marketing/Advertising,1.0021
2020-03-02,Product Management,1.0050
2020-03-02,Retail Staff,1.0162
2020-03-02,Sales,1.0073
2020-03-02,Security,1.0111
2020-03-02,Skilled Trades,0.9951
2020-03-02,Supply Chain Staff,1.0327
2020-03-02,Unassigned,1.0100
2020-03-03,,1.0028
2020-03-03,Customer Service,1.0222
2020-03-03,Entertainment and Recreation,1.0404
2020-03-03,Facilities/Constr,1.0168
2020-03-03,Finance/Insurance,1.0000
2020-03-03,Food & Beverage,1.0313
2020-03-03,Healthcare,0.9998
2020-03-03,Hospitality Staff,1.0416
2020-03-03,Human Resources,0.9869
2020-03-03,IT,1.0106
2020-03-03,Manufacturing/Operations Staff,1.0158
2020-03-03,Marketing/Advertising,1.0042
2020-03-03,Product Management,1.0220
2020-03-03,Retail Staff,1.0191
2020-03-03,Sales,0.9986
2020-03-03,Security,1.0232
2020-03-03,Skilled Trades,1.0127
2020-03-03,Supply Chain Staff,1.0748
2020-03-03,Unassigned,1.0223
2020-03-04,,1.0151
2020-03-04,Customer Service,1.0630
2020-03-04,Entertainment and Recreation,1.0504
2020-03-04,Facilities/Constr,1.0366
2020-03-04,Finance/Insurance,1.0194
2020-03-04,Food & Beverage,1.0534
2020-03-04,Healthcare,1.0228
2020-03-04,Hospitality Staff,1.0698
2020-03-04,Human Resources,1.0276
2020-03-04,IT,1.0287
2020-03-04,Manufacturing/Operations Staff,1.0415
2020-03-04,Marketing/Advertising,1.0289
2020-03-04,Product Management,1.0526
2020-03-04,Retail Staff,1.0477
2020-03-04,Sales,1.0188
2020-03-04,Security,1.0479
2020-03-04,Skilled Trades,1.0383
2020-03-04,Supply Chain Staff,1.1127
2020-03-04,Unassigned,1.0461
2020-03-05,,1.0208
2020-03-05,Customer Service,1.0782
2020-03-05,Entertainment and Recreation,1.0522
2020-03-05,Facilities/Constr,1.0461
2020-03-05,Finance/Insurance,1.0246
2020-03-05,Food & Beverage,1.0616
2020-03-05,Healthcare,1.0461
2020-03-05,Hospitality Staff,1.0716
2020-03-05,Human Resources,1.0231
2020-03-05,IT,1.0388
2020-03-05,Manufacturing/Operations Staff,1.0480
2020-03-05,Marketing/Advertising,1.0299
2020-03-05,Product Management,1.0650
2020-03-05,Retail Staff,1.0557
2020-03-05,Sales,1.0261
2020-03-05,Security,1.0728
2020-03-05,Skilled Trades,1.0495
2020-03-05,Supply Chain Staff,1.1277
2020-03-05,Unassigned,1.0582
2020-03-06,,0.9929
2020-03-06,Customer Service,1.0906
2020-03-06,Entertainment and Recreation,1.0858
2020-03-06,Facilities/Constr,1.0869
2020-03-06,Finance/Insurance,1.0385
2020-03-06,Food & Beverage,1.0776
2020-03-06,Healthcare,1.0764
2020-03-06,Hospitality Staff,1.1143
2020-03-06,Human Resources,1.0119
2020-03-06,IT,1.1009
2020-03-06,Manufacturing/Operations Staff,1.0902
2020-03-06,Marketing/Advertising,1.0533
2020-03-06,Product Management,1.0670
2020-03-06,Retail Staff,1.0717
2020-03-06,Sales,1.0586
2020-03-06,Security,1.1041
2020-03-06,Skilled Trades,1.0619
2020-03-06,Supply Chain Staff,1.1522
2020-03-06,Unassigned,1.0716
2020-03-07,,0.9835
2020-03-07,Customer Service,1.1025
2020-03-07,Entertainment and Recreation,1.0840
2020-03-07,Facilities/Constr,1.0995
2020-03-07,Finance/Insurance,1.0637
2020-03-07,Food & Beverage,1.0852
2020-03-07,Healthcare,1.1011
2020-03-07,Hospitality Staff,1.1257
2020-03-07,Human Resources,1.0114
2020-03-07,IT,1.1456
2020-03-07,Manufacturing/Operations Staff,1.1075
2020-03-07,Marketing/Advertising,1.0693
2020-03-07,Product Management,1.0876
2020-03-07,Retail Staff,1.1104
2020-03-07,Sales,1.0655
2020-03-07,Security,1.1196
2020-03-07,Skilled Trades,1.0692
2020-03-07,Supply Chain Staff,1.2121
2020-03-07,Unassigned,1.0957
2020-03-08,,0.9642
2020-03-08,Customer Service,1.0770
2020-03-08,Entertainment and Recreation,1.0671
2020-03-08,Facilities/Constr,1.0898
2020-03-08,Finance/Insurance,1.0503
2020-03-08,Food & Beverage,1.0665
2020-03-08,Healthcare,1.0852
2020-03-08,Hospitality Staff,1.1150
2020-03-08,Human Resources,0.9975
2020-03-08,IT,1.1243
2020-03-08,Manufacturing/Operations Staff,1.0875
2020-03-08,Marketing/Advertising,1.0596
2020-03-08,Product Management,1.0698
2020-03-08,Retail Staff,1.0943
2020-03-08,Sales,1.0492
2020-03-08,Security,1.1039
2020-03-08,Skilled Trades,1.0512
2020-03-08,Supply Chain Staff,1.1444
2020-03-08,Unassigned,1.0830
2020-03-09,,0.9817
2020-03-09,Customer Service,1.0655
2020-03-09,Entertainment and Recreation,1.0711
2020-03-09,Facilities/Constr,1.1152
2020-03-09,Finance/Insurance,1.0580
2020-03-09,Food & Beverage,1.0576
2020-03-09,Healthcare,1.1162
2020-03-09,Hospitality Staff,1.1289
2020-03-09,Human Resources,1.0122
2020-03-09,IT,1.1366
2020-03-09,Manufacturing/Operations Staff,1.1094
2020-03-09,Marketing/Advertising,1.0637
2020-03-09,Product Management,1.0875
2020-03-09,Retail Staff,1.0871
2020-03-09,Sales,1.0496
2020-03-09,Security,1.1103
2020-03-09,Skilled Trades,1.0668
2020-03-09,Supply Chain Staff,1.1477
2020-03-09,Unassigned,1.0949
2020-03-10,,0.9824
2020-03-10,Customer Service,1.0674
2020-03-10,Entertainment and Recreation,1.0785
2020-03-10,Facilities/Constr,1.1244
2020-03-10,Finance/Insurance,1.0618
2020-03-10,Food & Beverage,1.0600
2020-03-10,Healthcare,1.1223
2020-03-10,Hospitality Staff,1.1296
2020-03-10,Human Resources,1.0257
2020-03-10,IT,1.1366
2020-03-10,Manufacturing/Operations Staff,1.1045
2020-03-10,Marketing/Advertising,1.0775
2020-03-10,Product Management,1.0892
2020-03-10,Retail Staff,1.0941
2020-03-10,Sales,1.0577
2020-03-10,Security,1.1148
2020-03-10,Skilled Trades,1.0620
2020-03-10,Supply Chain Staff,1.1479
2020-03-10,Unassigned,1.0979
2020-03-11,,0.9819
2020-03-11,Customer Service,1.0586
2020-03-11,Entertainment and Recreation,1.0611
2020-03-11,Facilities/Constr,1.1117
2020-03-11,Finance/Insurance,1.0549
2020-03-11,Food & Beverage,1.0459
2020-03-11,Healthcare,1.1145
2020-03-11,Hospitality Staff,1.1144
2020-03-11,Human Resources,1.0248
2020-03-11,IT,1.1320
2020-03-11,Manufacturing/Operations Staff,1.0992
2020-03-11,Marketing/Advertising,1.0708
2020-03-11,Product Management,1.0833
2020-03-11,Retail Staff,1.0941
2020-03-11,Sales,1.0451
2020-03-11,Security,1.1071
2020-03-11,Skilled Trades,1.0506
2020-03-11,Supply Chain Staff,1.1279
2020-03-11,Unassigned,1.0912
2020-03-12,,0.9897
2020-03-12,Customer Service,1.0382
2020-03-12,Entertainment and Recreation,1.0284
2020-03-12,Facilities/Constr,1.1090
2020-03-12,Finance/Insurance,1.0362
2020-03-12,Food & Beverage,1.0207
2020-03-12,Healthcare,1.0910
2020-03-12,Hospitality Staff,1.0941
2020-03-12,Human Resources,1.0471
2020-03-12,IT,1.1131
2020-03-12,Manufacturing/Operations Staff,1.0849
2020-03-12,Marketing/Advertising,1.0576
2020-03-12,Product Management,1.0830
2020-03-12,Retail Staff,1.0824
2020-03-12,Sales,1.0320
2020-03-12,Security,1.0832
2020-03-12,Skilled Trades,1.0396
2020-03-12,Supply Chain Staff,1.1187
2020-03-12,Unassigned,1.0747
2020-03-13,,0.9679
2020-03-13,Customer Service,1.0087
2020-03-13,Entertainment and Recreation,0.9720
2020-03-13,Facilities/Constr,1.0776
2020-03-13,Finance/Insurance,0.9985
2020-03-13,Food & Beverage,0.9743
2020-03-13,Healthcare,1.0555
2020-03-13,Hospitality Staff,1.0377
2020-03-13,Human Resources,1.0440
2020-03-13,IT,1.0784
2020-03-13,Manufacturing/Operations Staff,1.0564
2020-03-13,Marketing/Advertising,1.0124
2020-03-13,Product Management,1.0579
2020-03-13,Retail Staff,1.0519
2020-03-13,Sales,0.9859
2020-03-13,Security,1.0546
2020-03-13,Skilled Trades,1.0136
2020-03-13,Supply Chain Staff,1.0893
2020-03-13,Unassigned,1.0385
2020-03-14,,0.9415
2020-03-14,Customer Service,0.9685
2020-03-14,Entertainment and Recreation,0.9233
2020-03-14,Facilities/Constr,1.0328
2020-03-14,Finance/Insurance,0.9447
2020-03-14,Food & Beverage,0.9255
2020-03-14,Healthcare,0.9948
2020-03-14,Hospitality Staff,0.9808
2020-03-14,Human Resources,1.0063
2020-03-14,IT,1.0028
2020-03-14,Manufacturing/Operations Staff,1.0143
2020-03-14,Marketing/Advertising,0.9667
2020-03-14,Product Management,1.0234
2020-03-14,Retail Staff,0.9833
2020-03-14,Sales,0.9485
2020-03-14,Security,1.0154
2020-03-14,Skilled Trades,0.9720
2020-03-14,Supply Chain Staff,1.0289
2020-03-14,Unassigned,0.9943
2020-03-15,,0.9414
2020-03-15,Customer Service,0.9738
2020-03-15,Entertainment and Recreation,0.9070
2020-03-15,Facilities/Constr,1.0412
2020-03-15,Finance/Insurance,0.9400
2020-03-15,Food & Beverage,0.9031
2020-03-15,Healthcare,0.9943
2020-03-15,Hospitality Staff,0.9641
2020-03-15,Human Resources,1.0013
2020-03-15,IT,0.9978
2020-03-15,Manufacturing/Operations Staff,1.0153
2020-03-15,Marketing/Advertising,0.9620
2020-03-15,Product Management,1.0226
2020-03-15,Retail Staff,0.9734
2020-03-15,Sales,0.9459
2020-03-15,Security,1.0107
2020-03-15,Skilled Trades,0.9671
2020-03-15,Supply Chain Staff,1.0156
2020-03-15,Unassigned,0.9915
2020-03-16,,0.9163
2020-03-16,Customer Service,0.9278
2020-03-16,Entertainment and Recreation,0.8306
2020-03-16,Facilities/Constr,0.9865
2020-03-16,Finance/Insurance,0.8885
2020-03-16,Food & Beverage,0.8405
2020-03-16,Healthcare,0.9417
2020-03-16,Hospitality Staff,0.9004
2020-03-16,Human Resources,0.9676
2020-03-16,IT,0.9310
2020-03-16,Manufacturing/Operations Staff,0.9639
2020-03-16,Marketing/Advertising,0.9177
2020-03-16,Product Management,0.9881
2020-03-16,Retail Staff,0.9216
2020-03-16,Sales,0.8991
2020-03-16,Security,0.9755
2020-03-16,Skilled Trades,0.9305
2020-03-16,Supply Chain Staff,0.9583
2020-03-16,Unassigned,0.9498
2020-03-17,,0.8644
2020-03-17,Customer Service,0.8363
2020-03-17,Entertainment and Recreation,0.7276
2020-03-17,Facilities/Constr,0.9145
2020-03-17,Finance/Insurance,0.8134
2020-03-17,Food & Beverage,0.7323
2020-03-17,Healthcare,0.8801
2020-03-17,Hospitality Staff,0.7980
2020-03-17,Human Resources,0.8926
2020-03-17,IT,0.8583
2020-03-17,Manufacturing/Operations Staff,0.9165
2020-03-17,Marketing/Advertising,0.8318
2020-03-17,Product Management,0.9171
2020-03-17,Retail Staff,0.8321
2020-03-17,Sales,0.8223
2020-03-17,Security,0.9207
2020-03-17,Skilled Trades,0.8726
2020-03-17,Supply Chain Staff,0.9017
2020-03-17,Unassigned,0.8803
2020-03-18,,0.8202
2020-03-18,Customer Service,0.7685
2020-03-18,Entertainment and Recreation,0.6481
2020-03-18,Facilities/Constr,0.8781
2020-03-18,Finance/Insurance,0.7488
2020-03-18,Food & Beverage,0.6488
2020-03-18,Healthcare,0.8295
2020-03-18,Hospitality Staff,0.7283
2020-03-18,Human Resources,0.8175
2020-03-18,IT,0.7826
2020-03-18,Manufacturing/Operations Staff,0.8692
2020-03-18,Marketing/Advertising,0.7740
2020-03-18,Product Management,0.8633
2020-03-18,Retail Staff,0.7659
2020-03-18,Sales,0.7643
2020-03-18,Security,0.8670
2020-03-18,Skilled Trades,0.8353
2020-03-18,Supply Chain Staff,0.8897
2020-03-18,Unassigned,0.8288
2020-03-19,,0.7520
2020-03-19,Customer Service,0.7101
2020-03-19,Entertainment and Recreation,0.5815
2020-03-19,Facilities/Constr,0.8264
2020-03-19,Finance/Insurance,0.6880
2020-03-19,Food & Beverage,0.5902
2020-03-19,Healthcare,0.7720
2020-03-19,Hospitality Staff,0.6616
2020-03-19,Human Resources,0.7398
2020-03-19,IT,0.7100
2020-03-19,Manufacturing/Operations Staff,0.8255
2020-03-19,Marketing/Advertising,0.7142
2020-03-19,Product Management,0.8032
2020-03-19,Retail Staff,0.7019
2020-03-19,Sales,0.6997
2020-03-19,Security,0.8134
2020-03-19,Skilled Trades,0.7780
2020-03-19,Supply Chain Staff,0.8496
2020-03-19,Unassigned,0.7819
2020-03-20,,0.7070
2020-03-20,Customer Service,0.6559
2020-03-20,Entertainment and Recreation,0.5350
2020-03-20,Facilities/Constr,0.7671
2020-03-20,Finance/Insurance,0.6352
2020-03-20,Food & Beverage,0.5242
2020-03-20,Healthcare,0.7562
2020-03-20,Hospitality Staff,0.5980
2020-03-20,Human Resources,0.6860
2020-03-20,IT,0.6590
2020-03-20,Manufacturing/Operations Staff,0.7916
2020-03-20,Marketing/Advertising,0.6517
2020-03-20,Product Management,0.7383
2020-03-20,Retail Staff,0.6519
2020-03-20,Sales,0.6485
2020-03-20,Security,0.7550
2020-03-20,Skilled Trades,0.7423
2020-03-20,Supply Chain Staff,0.8148
2020-03-20,Unassigned,0.7429
2020-03-21,,0.6893
2020-03-21,Customer Service,0.6247
2020-03-21,Entertainment and Recreation,0.4965
2020-03-21,Facilities/Constr,0.7342
2020-03-21,Finance/Insurance,0.6100
2020-03-21,Food & Beverage,0.4792
2020-03-21,Healthcare,0.7351
2020-03-21,Hospitality Staff,0.5585
2020-03-21,Human Resources,0.6539
2020-03-21,IT,0.6347
2020-03-21,Manufacturing/Operations Staff,0.7666
2020-03-21,Marketing/Advertising,0.6180
2020-03-21,Product Management,0.7087
2020-03-21,Retail Staff,0.6227
2020-03-21,Sales,0.6225
2020-03-21,Security,0.7238
2020-03-21,Skilled Trades,0.7206
2020-03-21,Supply Chain Staff,0.7816
2020-03-21,Unassigned,0.7149
2020-03-22,,0.6871
2020-03-22,Customer Service,0.6089
2020-03-22,Entertainment and Recreation,0.4812
2020-03-22,Facilities/Constr,0.7097
2020-03-22,Finance/Insurance,0.6025
2020-03-22,Food & Beverage,0.4585
2020-03-22,Healthcare,0.7244
2020-03-22,Hospitality Staff,0.5467
2020-03-22,Human Resources,0.6462
2020-03-22,IT,0.6223
2020-03-22,Manufacturing/Operations Staff,0.7551
2020-03-22,Marketing/Advertising,0.6083
2020-03-22,Product Management,0.7044
2020-03-22,Retail Staff,0.6132
2020-03-22,Sales,0.6117
2020-03-22,Security,0.7159
2020-03-22,Skilled Trades,0.7102
2020-03-22,Supply Chain Staff,0.7678
2020-03-22,Unassigned,0.6994
2020-03-23,,0.6618
2020-03-23,Customer Service,0.5813
2020-03-23,Entertainment and Recreation,0.4613
2020-03-23,Facilities/Constr,0.6788
2020-03-23,Finance/Insurance,0.5730
2020-03-23,Food & Beverage,0.4340
2020-03-23,Healthcare,0.7206
2020-03-23,Hospitality Staff,0.5129
2020-03-23,Human Resources,0.6219
2020-03-23,IT,0.6041
2020-03-23,Manufacturing/Operations Staff,0.7398
2020-03-23,Marketing/Advertising,0.5707
2020-03-23,Product Management,0.6595
2020-03-23,Retail Staff,0.5965
2020-03-23,Sales,0.5765
2020-03-23,Security,0.6902
2020-03-23,Skilled Trades,0.6860
2020-03-23,Supply Chain Staff,0.7590
2020-03-23,Unassigned,0.6737
2020-03-24,,0.6190
2020-03-24,Customer Service,0.5247
2020-03-24,Entertainment and Recreation,0.4323
2020-03-24,Facilities/Constr,0.6290
2020-03-24,Finance/Insurance,0.5417
2020-03-24,Food & Beverage,0.3901
2020-03-24,Healthcare,0.7064
2020-03-24,Hospitality Staff,0.4616
2020-03-24,Human Resources,0.5742
2020-03-24,IT,0.5854
2020-03-24,Manufacturing/Operations Staff,0.7186
2020-03-24,Marketing/Advertising,0.5229
2020-03-24,Product Management,0.6074
2020-03-24,Retail Staff,0.5408
2020-03-24,Sales,0.5474
2020-03-24,Security,0.6670
2020-03-24,Skilled Trades,0.6557
2020-03-24,Supply Chain Staff,0.7050
2020-03-24,Unassigned,0.6544
2020-03-25,,0.5644
2020-03-25,Customer Service,0.4655
2020-03-25,Entertainment and Recreation,0.3833
2020-03-25,Facilities/Constr,0.5513
2020-03-25,Finance/Insurance,0.4938
2020-03-25,Food & Beverage,0.3395
2020-03-25,Healthcare,0.6624
2020-03-25,Hospitality Staff,0.4017
2020-03-25,Human Resources,0.5410
2020-03-25,IT,0.5447
2020-03-25,Manufacturing/Operations Staff,0.6584
2020-03-25,Marketing/Advertising,0.4557
2020-03-25,Product Management,0.5420
2020-03-25,Retail Staff,0.4789
2020-03-25,Sales,0.4845
2020-03-25,Security,0.6394
2020-03-25,Skilled Trades,0.5871
2020-03-25,Supply Chain Staff,0.6111
2020-03-25,Unassigned,0.5939
2020-03-26,,0.5373
2020-03-26,Customer Service,0.4377
2020-03-26,Entertainment and Recreation,0.3566
2020-03-26,Facilities/Constr,0.5023
2020-03-26,Finance/Insurance,0.4701
2020-03-26,Food & Beverage,0.3056
2020-03-26,Healthcare,0.6593
2020-03-26,Hospitality Staff,0.3837
2020-03-26,Human Resources,0.5359
2020-03-26,IT,0.5281
2020-03-26,Manufacturing/Operations Staff,0.6290
2020-03-26,Marketing/Advertising,0.4203
2020-03-26,Product Management,0.5163
2020-03-26,Retail Staff,0.4603
2020-03-26,Sales,0.4512
2020-03-26,Security,0.6260
2020-03-26,Skilled Trades,0.5633
2020-03-26,Supply Chain Staff,0.5679
2020-03-26,Unassigned,0.5648
2020-03-27,,0.4834
2020-03-27,Customer Service,0.3790
2020-03-27,Entertainment and Recreation,0.3099
2020-03-27,Facilities/Constr,0.4564
2020-03-27,Finance/Insurance,0.4244
2020-03-27,Food & Beverage,0.2755
2020-03-27,Healthcare,0.5868
2020-03-27,Hospitality Staff,0.3484
2020-03-27,Human Resources,0.4681
2020-03-27,IT,0.4734
2020-03-27,Manufacturing/Operations Staff,0.5640
2020-03-27,Marketing/Advertising,0.3751
2020-03-27,Product Management,0.4859
2020-03-27,Retail Staff,0.4021
2020-03-27,Sales,0.4013
2020-03-27,Security,0.5665
2020-03-27,Skilled Trades,0.5004
2020-03-27,Supply Chain Staff,0.4991
2020-03-27,Unassigned,0.5058
2020-03-28,,0.4845
2020-03-28,Customer Service,0.3963
